player,name,team,position,natural_position,club,league,age,pace,shooting,passing,dribbling,defending,physical,overall,vision,gk,caps,form,available
Bongokuhle Hlongwane,Bongokuhle Hlongwane,South Africa,RB,RB,Minnesota United FC,Major League Soccer,25,80.0,67.0,60.0,72.0,66.0,70.0,71,64.4,11.25,8,71.0,1
Kobamelo Kodisang,Kobamelo Kodisang,South Africa,RM,RM,AVS Futebol SAD,Primeira Liga,25,84.0,67.0,61.0,70.0,28.0,47.0,68,63.800000000000004,11.75,8,68.0,1
Ime Okon,Ime Okon,South Africa,CB,CB,Hannover 96,2. Bundesliga,21,77.0,30.0,44.0,59.0,68.0,70.0,67,53.2,10.25,8,67.0,1
Moegamat Yusuf Maart,Moegamat Yusuf Maart,South Africa,CM,CM,SV Ried,Bundesliga,29,73.0,57.0,67.0,67.0,53.0,51.0,67,67.0,13.0,8,67.0,1
Luke Gareth Le Roux,Luke Gareth Le Roux,South Africa,CM,CM,Portsmouth,Championship,25,62.0,59.0,62.0,67.0,60.0,71.0,66,63.599999999999994,12.5,8,66.0,1
Sphephelo Sithole,Sphephelo Sithole,South Africa,CDM,CDM,CD Tondela,Primeira Liga,26,64.0,53.0,59.0,61.0,64.0,74.0,65,61.4,11.25,8,65.0,1
Shandre Miguel Campbell,Shandre Miguel Campbell,South Africa,LW,LW,Club Brugge KV,Pro League,19,80.0,59.0,57.0,71.0,22.0,51.0,65,60.199999999999996,9.5,8,65.0,1
Mohau Nkota,Mohau Nkota,South Africa,RW,RW,Al Ettifaq,Pro League,20,91.0,59.0,52.0,66.0,23.0,46.0,64,56.8,10.0,8,64.0,1
Samukelo Kabini,Samukelo Kabini,South Africa,LB,LB,Molde FK,Eliteserien,21,71.0,29.0,54.0,60.0,59.0,60.0,63,57.6,10.5,8,63.0,1
Antonio van Wyk,Antonio van Wyk,South Africa,LW,LW,SV Ried,Bundesliga,23,76.0,59.0,56.0,61.0,31.0,54.0,62,58.400000000000006,8.75,8,62.0,1
Kgaogelo Chauke,Kgaogelo Chauke,South Africa,CM,CM,Burton Albion,League One,22,71.0,56.0,58.0,64.0,56.0,62.0,61,59.2,9.25,8,61.0,1
Olwethu Makhanya,Olwethu Makhanya,South Africa,CB,CB,Philadelphia Union,Major League Soccer,21,74.0,32.0,42.0,44.0,56.0,64.0,57,48.0,10.25,8,57.0,1
Elias Mokwana,Elias Mokwana,South Africa,RW,RW,Al Hazem FC,Pro League,25,61.0,53.0,42.0,56.0,23.0,41.0,51,45.6,12.25,8,51.0,1
Heung-min Son,Heung-min Son,South Korea,LW,LW,Los Angeles FC,Major League Soccer,32,84.0,84.0,81.0,83.0,42.0,73.0,85,82.6,10.0,52,85.0,1
Min-jae Kim,Min-jae Kim,South Korea,CB,CB,FC Bayern München,Bundesliga,28,73.0,33.0,58.0,63.0,83.0,84.0,82,67.6,11.25,52,82.0,1
Kang-in Lee,Kang-in Lee,South Korea,RW,RW,Paris Saint-Germain,Ligue 1,24,72.0,75.0,80.0,82.0,50.0,64.0,79,79.6,11.25,30,79.0,1
In-beom Hwang,In-beom Hwang,South Korea,CM,CM,Feyenoord,Eredivisie,28,62.0,70.0,76.0,77.0,63.0,65.0,77,76.4,9.0,8,77.0,1
Jae-sung Lee,Jae-sung Lee,South Korea,CAM,CAM,1. FSV Mainz 05,Bundesliga,32,72.0,71.0,72.0,81.0,63.0,66.0,77,74.0,8.75,30,77.0,1
Dong-gyeong Lee,Dong-gyeong Lee,South Korea,CAM,CAM,Gimcheon Sangmu FC,K League 1,27,77.0,75.0,73.0,75.0,59.0,76.0,75,73.8,7.5,8,75.0,1
Hee-chan Hwang,Hee-chan Hwang,South Korea,ST,ST,Wolverhampton Wanderers,Premier League,29,81.0,75.0,70.0,75.0,39.0,68.0,75,72.0,11.0,8,75.0,1
Hyeon-woo Jo,Hyeon-woo Jo,South Korea,GK,GK,Ulsan HD FC,K League 1,33,45.0,45.0,45.0,45.0,45.0,45.0,75,75.0,75.25,8,75.0,1
Bum-keun Song,Bum-keun Song,South Korea,GK,GK,Jeonbuk Hyundai Motors,K League 1,27,45.0,45.0,45.0,45.0,45.0,45.0,74,74.0,73.25,8,74.0,1
Chang-geun Lee,Chang-geun Lee,South Korea,GK,GK,Daejeon Citizen,K League 1,31,45.0,45.0,45.0,45.0,45.0,45.0,74,74.0,74.0,8,74.0,1
Min-kyu Joo,Min-kyu Joo,South Korea,ST,ST,Daejeon Citizen,K League 1,35,62.0,75.0,56.0,69.0,46.0,79.0,74,63.2,13.0,8,74.0,1
Hyeon-seok Hong,Hyeon-seok Hong,South Korea,CAM,CAM,FC Nantes,Ligue 1,26,72.0,70.0,72.0,76.0,66.0,65.0,73,72.4,11.25,8,73.0,1
Woo-yeong Jeong,Woo-yeong Jeong,South Korea,CAM,CAM,1. FC Union Berlin,Bundesliga,25,76.0,62.0,68.0,78.0,36.0,60.0,73,70.0,8.0,8,73.0,1
Jin-woo Jeon,Jin-woo Jeon,South Korea,RW,RW,Jeonbuk Hyundai Motors,K League 1,25,89.0,67.0,56.0,75.0,35.0,60.0,72,62.400000000000006,8.5,8,72.0,1
Seung-ho Paik,Seung-ho Paik,South Korea,CDM,CDM,Birmingham City,Championship,28,67.0,67.0,70.0,73.0,66.0,75.0,72,70.8,10.5,8,72.0,1
Bong-soo Kim,Bong-soo Kim,South Korea,CDM,CDM,Daejeon Citizen,K League 1,25,67.0,58.0,63.0,65.0,68.0,79.0,72,66.6,12.75,8,72.0,1
Seung-wook Park,Seung-wook Park,South Korea,CB,CB,Pohang Steelers,K League 1,28,76.0,42.0,64.0,64.0,69.0,81.0,71,66.8,10.0,8,71.0,1
Jin-seob Park,Jin-seob Park,South Korea,CB,CB,Jeonbuk Hyundai Motors,K League 1,29,70.0,54.0,60.0,62.0,69.0,84.0,71,64.4,9.5,8,71.0,1
Seung-beom Ko,Seung-beom Ko,South Korea,CM,CM,Ulsan HD FC,K League 1,31,73.0,60.0,68.0,72.0,67.0,78.0,71,69.2,10.25,8,71.0,1
Ui-jo Hwang,Ui-jo Hwang,South Korea,ST,ST,Alanyaspor,Süper Lig,32,77.0,72.0,63.0,72.0,42.0,71.0,71,66.2,9.25,8,71.0,1
Young-gwon Kim,Young-gwon Kim,South Korea,CB,CB,Ulsan HD FC,K League 1,35,64.0,44.0,65.0,58.0,68.0,76.0,70,67.0,13.25,8,70.0,1
Jae-won Hwang,Jae-won Hwang,South Korea,RB,RB,Daegu FC,K League 1,22,79.0,46.0,62.0,70.0,65.0,80.0,70,65.19999999999999,11.5,8,70.0,1
Ji-su Park,Ji-su Park,South Korea,CB,CB,Wuhan Three Towns,Super League,31,69.0,48.0,55.0,59.0,70.0,75.0,70,61.0,11.25,8,70.0,1
Kyung-won Kwon,Kyung-won Kwon,South Korea,CB,CB,FC Anyang,K League 1,33,64.0,41.0,61.0,61.0,68.0,79.0,70,64.6,13.0,8,70.0,1
Min-kwang Jeon,Min-kwang Jeon,South Korea,CB,CB,Pohang Steelers,K League 1,32,75.0,51.0,58.0,57.0,68.0,80.0,70,62.8,11.5,8,70.0,1
Seung-hyun Jung,Seung-hyun Jung,South Korea,CB,CB,Ulsan HD FC,K League 1,31,44.0,33.0,52.0,45.0,70.0,80.0,70,59.2,12.5,8,70.0,1
Patrik Schick,Patrik Schick,Czech Republic,ST,ST,Bayer 04 Leverkusen,Bundesliga,29,72.0,83.0,71.0,81.0,38.0,77.0,85,76.6,12.25,52,85.0,1
Ladislav Krejčí,Ladislav Krejčí,Czech Republic,CB,CB,Wolverhampton Wanderers,Premier League,26,72.0,68.0,68.0,69.0,76.0,84.0,78,72.0,8.5,8,78.0,1
Tomáš Souček,Tomáš Souček,Czech Republic,CDM,CDM,West Ham United,Premier League,30,45.0,72.0,71.0,68.0,78.0,82.0,78,73.80000000000001,9.5,30,78.0,1
Lukáš Provod,Lukáš Provod,Czech Republic,CAM,CAM,SK Slavia Praha,První liga,28,76.0,75.0,78.0,78.0,64.0,82.0,78,78.0,10.25,8,78.0,1
Václav Černý,Václav Černý,Czech Republic,RM,RM,Beşiktaş JK,Süper Lig,27,85.0,72.0,69.0,77.0,39.0,64.0,77,72.2,10.75,8,77.0,1
Adam Hložek,Adam Hložek,Czech Republic,ST,ST,TSG 1899 Hoffenheim,Bundesliga,22,78.0,78.0,72.0,77.0,31.0,79.0,77,74.0,10.5,8,77.0,1
Pavel Šulc,Pavel Šulc,Czech Republic,CAM,CAM,Olympique Lyonnais,Ligue 1,24,71.0,73.0,74.0,77.0,39.0,64.0,77,75.2,11.75,8,77.0,1
Michal Sadílek,Michal Sadílek,Czech Republic,CDM,CDM,SK Slavia Praha,První liga,26,53.0,58.0,75.0,71.0,72.0,79.0,76,75.4,12.75,8,76.0,1
Tomáš Holeš,Tomáš Holeš,Czech Republic,CB,CB,SK Slavia Praha,První liga,32,74.0,58.0,69.0,69.0,75.0,80.0,76,71.8,9.25,8,76.0,1
Jindřich Staněk,Jindřich Staněk,Czech Republic,GK,GK,SK Slavia Praha,První liga,29,45.0,45.0,45.0,45.0,45.0,45.0,76,76.0,74.75,8,76.0,1
Antonín Barák,Antonín Barák,Czech Republic,CM,CM,Sampdoria,Serie B,30,69.0,74.0,76.0,75.0,64.0,73.0,75,75.6,13.0,8,75.0,1
Tomáš Chorý,Tomáš Chorý,Czech Republic,ST,ST,SK Slavia Praha,První liga,30,57.0,75.0,60.0,64.0,32.0,88.0,75,66.0,8.25,8,75.0,1
Antonín Kinský,Antonín Kinský,Czech Republic,GK,GK,Tottenham Hotspur,Premier League,22,45.0,45.0,45.0,45.0,45.0,45.0,75,75.0,75.25,8,75.0,1
Pavel Bucha,Pavel Bucha,Czech Republic,CM,CM,FC Cincinnati,Major League Soccer,27,71.0,70.0,74.0,76.0,69.0,71.0,75,74.4,9.75,8,75.0,1
Martin Jedlička,Martin Jedlička,Czech Republic,GK,GK,Viktoria Plzeň,První liga,27,45.0,45.0,45.0,45.0,45.0,45.0,75,75.0,75.0,8,75.0,1
Pavel Kadeřábek,Pavel Kadeřábek,Czech Republic,RB,RB,Sparta Praha,První liga,33,66.0,45.0,70.0,70.0,71.0,75.0,74,71.6,10.25,8,74.0,1
Filip Panák,Filip Panák,Czech Republic,CB,CB,Sparta Praha,První liga,29,70.0,53.0,68.0,69.0,73.0,77.0,74,70.4,9.75,8,74.0,1
David Zima,David Zima,Czech Republic,CB,CB,SK Slavia Praha,První liga,24,76.0,38.0,54.0,62.0,75.0,75.0,74,62.0,9.25,8,74.0,1
Martin Vitík,Martin Vitík,Czech Republic,CB,CB,Bologna,Serie A,22,73.0,39.0,56.0,62.0,74.0,75.0,74,63.2,11.25,8,74.0,1
Jan Bořil,Jan Bořil,Czech Republic,CB,CB,SK Slavia Praha,První liga,34,65.0,62.0,69.0,68.0,72.0,79.0,74,71.0,11.0,8,74.0,1
Matěj Šín,Matěj Šín,Czech Republic,CAM,CAM,AZ Alkmaar,Eredivisie,21,71.0,65.0,72.0,77.0,51.0,69.0,74,72.8,9.5,8,74.0,1
Václav Jemelka,Václav Jemelka,Czech Republic,CB,CB,Viktoria Plzeň,První liga,30,66.0,49.0,65.0,68.0,73.0,77.0,74,68.6,10.25,8,74.0,1
Matěj Vydra,Matěj Vydra,Czech Republic,ST,ST,Viktoria Plzeň,První liga,33,76.0,72.0,66.0,72.0,36.0,68.0,74,69.2,12.25,8,74.0,1
Vasil Kušej,Vasil Kušej,Czech Republic,LW,LW,SK Slavia Praha,První liga,25,78.0,68.0,67.0,78.0,24.0,61.0,74,69.8,12.5,8,74.0,1
Mojmír Chytil,Mojmír Chytil,Czech Republic,ST,ST,SK Slavia Praha,První liga,26,73.0,72.0,55.0,68.0,29.0,81.0,74,62.6,8.0,8,74.0,1
David Jurásek,David Jurásek,Czech Republic,LB,LB,Beşiktaş JK,Süper Lig,24,83.0,61.0,68.0,72.0,67.0,74.0,73,70.0,8.0,8,73.0,1
Alphonso Boyle Davies,Alphonso Boyle Davies,Canada,LB,LB,FC Bayern München,Bundesliga,24,94.0,66.0,78.0,85.0,74.0,76.0,84,80.4,10.25,52,84.0,1
Jonathan Christian David,Jonathan Christian David,Canada,ST,ST,Juventus,Serie A,25,81.0,82.0,71.0,80.0,34.0,78.0,82,75.4,7.0,52,82.0,1
Alistair William Johnston,Alistair William Johnston,Canada,RB,RB,Celtic,Premiership,26,82.0,59.0,73.0,72.0,73.0,80.0,78,75.0,9.75,8,78.0,1
Milan BorjanMa opja,Milan BorjanMa opja,Canada,GK,GK,Al Riyadh,Pro League,37,45.0,45.0,45.0,45.0,45.0,45.0,78,78.0,77.0,8,78.0,1
Stephen Antunes Eustáquio,Stephen Antunes Eustáquio,Canada,CDM,CDM,FC Porto,Primeira Liga,28,66.0,67.0,76.0,73.0,73.0,74.0,77,76.4,7.25,8,77.0,1
Cyle Christopher Larin,Cyle Christopher Larin,Canada,ST,ST,Feyenoord,Eredivisie,30,70.0,77.0,68.0,71.0,28.0,78.0,77,71.6,10.0,8,77.0,1
Moïse Bombito Lumpungu,Moïse Bombito Lumpungu,Canada,CB,CB,OGC Nice,Ligue 1,25,93.0,49.0,58.0,65.0,75.0,76.0,76,65.2,7.75,8,76.0,1
Promise Oluwatobi Emmanuel David,Promise Oluwatobi Emmanuel David,Canada,ST,ST,Union Saint-Gilloise,Pro League,23,62.0,78.0,59.0,64.0,29.0,84.0,75,65.4,9.75,8,75.0,1
Derek Austin Cornelius,Derek Austin Cornelius,Canada,CB,CB,Rangers FC,Premiership,27,67.0,45.0,55.0,57.0,71.0,85.0,74,62.6,9.0,8,74.0,1
Tajon Trevor Buchanan,Tajon Trevor Buchanan,Canada,RM,RM,Villarreal CF,La Liga,26,90.0,65.0,66.0,74.0,67.0,73.0,74,69.2,9.25,8,74.0,1
Dayne Tristan St. Clair,Dayne Tristan St. Clair,Canada,GK,GK,Minnesota United FC,Major League Soccer,28,45.0,45.0,45.0,45.0,45.0,45.0,73,73.0,72.5,8,73.0,1
Liam Alan Millar,Liam Alan Millar,Canada,LM,LM,Hull City,Championship,25,85.0,66.0,66.0,75.0,52.0,59.0,72,68.4,9.5,8,72.0,1
Ismaël Kenneth Jordan Koné,Ismaël Kenneth Jordan Koné,Canada,CM,CM,Sassuolo,Serie A,23,78.0,63.0,68.0,71.0,64.0,69.0,72,69.6,9.0,8,72.0,1
Richmond Mamah Laryea,Richmond Mamah Laryea,Canada,RM,RM,Toronto FC,Major League Soccer,30,81.0,61.0,65.0,74.0,64.0,71.0,72,67.8,10.0,8,72.0,1
Jonathan Osorio,Jonathan Osorio,Canada,CM,CM,Toronto FC,Major League Soccer,33,50.0,67.0,70.0,72.0,61.0,65.0,71,70.4,11.75,8,71.0,1
Thelonius Alston Bradley Bair,Thelonius Alston Bradley Bair,Canada,ST,ST,FC Lausanne-Sport,Super League,25,75.0,68.0,51.0,65.0,29.0,80.0,71,59.0,11.25,8,71.0,1
Kamal Anthony Miller,Kamal Anthony Miller,Canada,CB,CB,Portland Timbers,Major League Soccer,28,75.0,48.0,59.0,63.0,68.0,81.0,71,63.8,9.5,8,71.0,1
Niko Kristian Sigur,Niko Kristian Sigur,Canada,RB,RB,Hajduk Split,Hrvatska nogometna liga,21,71.0,61.0,68.0,73.0,62.0,68.0,70,68.8,11.25,8,70.0,1
Tanitoluwa Oluwatimikhin Oluwaseyi,Tanitoluwa Oluwatimikhin Oluwaseyi,Canada,ST,ST,Villarreal CF,La Liga,25,85.0,71.0,54.0,66.0,31.0,67.0,70,60.4,9.75,8,70.0,1
Maxime Crépeau,Maxime Crépeau,Canada,GK,GK,Portland Timbers,Major League Soccer,31,45.0,45.0,45.0,45.0,45.0,45.0,69,69.0,69.5,8,69.0,1
David Junior Wayne Hoilett,David Junior Wayne Hoilett,Canada,LM,LM,Hibernian,Premiership,35,72.0,66.0,67.0,72.0,57.0,65.0,69,67.8,10.25,8,69.0,1
Samuel Piette,Samuel Piette,Canada,CDM,CDM,CF Montréal,Major League Soccer,30,57.0,22.0,55.0,55.0,68.0,78.0,69,60.6,10.25,8,69.0,1
Iké Dominique Ugbo,Iké Dominique Ugbo,Canada,ST,ST,Sheffield Wednesday,Championship,26,75.0,67.0,58.0,68.0,29.0,70.0,69,62.4,12.0,8,69.0,1
Samuel Ayomide Adekugbe,Samuel Ayomide Adekugbe,Canada,LB,LB,Vancouver Whitecaps FC,Major League Soccer,30,83.0,50.0,60.0,70.0,60.0,75.0,68,63.2,11.25,8,68.0,1
Joel Robert Waterman,Joel Robert Waterman,Canada,CB,CB,Chicago Fire,Major League Soccer,29,43.0,42.0,58.0,50.0,68.0,74.0,68,62.0,8.75,8,68.0,1
Kyle Anthony Hiebert,Kyle Anthony Hiebert,Canada,CB,CB,St. Louis CITY SC,Major League Soccer,27,68.0,25.0,47.0,54.0,66.0,75.0,67,55.0,12.75,8,67.0,1
Edin Džeko,Edin Džeko,Bosnia-Herzegovina,ST,ST,Fiorentina,Serie A,39,55.0,82.0,74.0,77.0,40.0,72.0,81,76.8,12.5,52,81.0,1
Ermedin Demirović,Ermedin Demirović,Bosnia-Herzegovina,ST,ST,VfB Stuttgart,Bundesliga,27,72.0,81.0,73.0,78.0,42.0,78.0,80,75.8,7.5,30,80.0,1
Sead Kolašinac,Sead Kolašinac,Bosnia-Herzegovina,CB,CB,Atalanta,Serie A,32,61.0,63.0,68.0,69.0,79.0,82.0,79,72.4,10.0,30,79.0,1
Edin Višća,Edin Višća,Bosnia-Herzegovina,RM,RM,Trabzonspor,Süper Lig,35,82.0,76.0,75.0,80.0,47.0,65.0,78,76.2,12.5,8,78.0,1
Nikola Vasilj,Nikola Vasilj,Bosnia-Herzegovina,GK,GK,FC St. Pauli,Bundesliga,29,45.0,45.0,45.0,45.0,45.0,45.0,77,77.0,76.25,8,77.0,1
Haris Hajradinović,Haris Hajradinović,Bosnia-Herzegovina,CM,CM,Kasımpaşa SK,Süper Lig,31,73.0,74.0,79.0,76.0,56.0,69.0,76,77.8,10.0,8,76.0,1
Miroslav Stevanović,Miroslav Stevanović,Bosnia-Herzegovina,RM,RM,Servette FC,Super League,34,78.0,70.0,75.0,73.0,39.0,71.0,75,75.0,12.0,30,75.0,1
Anel Ahmedhodžić,Anel Ahmedhodžić,Bosnia-Herzegovina,CB,CB,Feyenoord,Eredivisie,26,72.0,41.0,59.0,61.0,74.0,78.0,74,65.0,9.25,8,74.0,1
Amar Dedić,Amar Dedić,Bosnia-Herzegovina,RB,RB,SL Benfica,Primeira Liga,22,83.0,60.0,70.0,76.0,66.0,76.0,74,71.6,10.0,8,74.0,1
Haris Tabaković,Haris Tabaković,Bosnia-Herzegovina,ST,ST,Borussia Mönchengladbach,Bundesliga,31,60.0,73.0,52.0,65.0,29.0,80.0,73,60.400000000000006,11.25,8,73.0,1
Amir Hadžiahmetović,Amir Hadžiahmetović,Bosnia-Herzegovina,CDM,CDM,Hull City,Championship,28,65.0,60.0,73.0,72.0,70.0,73.0,73,73.0,12.5,8,73.0,1
Amar Memić,Amar Memić,Bosnia-Herzegovina,RM,RM,Viktoria Plzeň,První liga,24,81.0,69.0,68.0,73.0,48.0,61.0,72,69.6,10.25,8,72.0,1
Denis Huseinbašić,Denis Huseinbašić,Bosnia-Herzegovina,CM,CM,1. FC Köln,Bundesliga,23,67.0,62.0,65.0,73.0,64.0,71.0,72,67.8,9.75,8,72.0,1
Armin Gigović,Armin Gigović,Bosnia-Herzegovina,CM,CM,BSC Young Boys,Super League,23,65.0,61.0,70.0,74.0,60.0,74.0,72,70.8,10.75,8,72.0,1
Leon Adrian Barišić,Leon Adrian Barišić,Bosnia-Herzegovina,CB,CB,FC Basel 1893,Super League,24,56.0,27.0,45.0,41.0,74.0,77.0,72,55.8,9.5,8,72.0,1
Elvis Sarić,Elvis Sarić,Bosnia-Herzegovina,CM,CM,Qingdao Hainiu FC,Super League,34,64.0,63.0,71.0,70.0,63.0,75.0,71,71.0,9.75,8,71.0,1
Milan Đurić,Milan Đurić,Bosnia-Herzegovina,ST,ST,Parma,Serie A,35,33.0,71.0,55.0,61.0,32.0,82.0,71,61.400000000000006,7.5,8,71.0,1
Asmir Begović,Asmir Begović,Bosnia-Herzegovina,GK,GK,Leicester City,Championship,38,45.0,45.0,45.0,45.0,45.0,45.0,70,70.0,70.0,8,70.0,1
Jusuf Gazibegović,Jusuf Gazibegović,Bosnia-Herzegovina,RB,RB,1. FC Köln,Bundesliga,25,74.0,43.0,66.0,70.0,68.0,65.0,70,67.6,10.75,8,70.0,1
Tarik Muharemović,Tarik Muharemović,Bosnia-Herzegovina,CB,CB,Sassuolo,Serie A,22,59.0,23.0,47.0,56.0,73.0,67.0,70,56.2,8.5,8,70.0,1
Dennis Hadžikadunić,Dennis Hadžikadunić,Bosnia-Herzegovina,CB,CB,Sampdoria,Serie B,26,61.0,30.0,49.0,54.0,69.0,76.0,70,57.4,9.5,8,70.0,1
Vladan Kovačević,Vladan Kovačević,Bosnia-Herzegovina,GK,GK,Norwich City,Championship,27,45.0,45.0,45.0,45.0,45.0,45.0,70,70.0,70.75,8,70.0,1
Kenan Kodro,Kenan Kodro,Bosnia-Herzegovina,ST,ST,Real Zaragoza,La Liga 2,31,44.0,71.0,62.0,65.0,40.0,71.0,70,65.19999999999999,9.75,8,70.0,1
Nikola Katić,Nikola Katić,Bosnia-Herzegovina,CB,CB,FC Schalke 04,2. Bundesliga,28,51.0,35.0,45.0,53.0,68.0,79.0,69,54.6,10.75,8,69.0,1
Luka Kulenović,Luka Kulenović,Bosnia-Herzegovina,ST,ST,Heracles Almelo,Eredivisie,25,62.0,68.0,45.0,63.0,26.0,72.0,69,54.6,9.0,8,69.0,1
Nihad Mujakić,Nihad Mujakić,Bosnia-Herzegovina,CB,CB,Eyüpspor,Süper Lig,27,70.0,28.0,42.0,47.0,66.0,77.0,67,52.0,10.75,8,67.0,1
Akram Hassan Afif Yahya Afif,Akram Hassan Afif Yahya Afif,Qatar,LM,LM,,nan,28,87.0,75.0,72.0,79.0,32.0,55.0,78,74.4,9.0,8,78.0,1
Guilherme dos Santos Torres,Guilherme dos Santos Torres,Qatar,CDM,CDM,,nan,34,69.0,65.0,72.0,71.0,73.0,78.0,77,74.0,9.5,8,77.0,1
