group,team,player,club,league,position,role,age,ea_overall,skill,form,experience,overall
J,Algeria,Ilan Kais Kebbal,Paris FC,Ligue 1,MID,WM,26,76.0,70.0,76.0,25.5,68.3
J,Algeria,Abdelkader Bedrane,Damac FC,Pro League,DEF,CB,33,72.0,68.8,72.0,37.2,68.0
J,Algeria,Ahmed Touba,Panathinaikos FC,Super League,DEF,CB,27,70.0,70.5,70.0,27.2,67.9
J,Algeria,Mehdi Emile Dorval,SSC Bari,Serie B,DEF,FB,24,71.0,68.3,71.0,22.2,66.0
J,Algeria,Jaouen Hadjam,BSC Young Boys,Super League,DEF,FB,22,69.0,68.8,69.0,18.9,65.7
J,Algeria,Yasser Larouci,ESTAC Troyes,Ligue 2,DEF,FB,24,68.0,65.5,68.0,22.2,63.6
J,Algeria,Sohaib Naïr,En Avant Guingamp,Ligue 2,DEF,CB,23,68.0,64.8,68.0,20.5,63.0
J,Argentina,Lionel Andrés Messi Cuccitini,Inter Miami,Major League Soccer,FWD,W,38,86.0,84.5,86.0,85.5,85.8
J,Argentina,Lautaro Javier Martínez,Inter,Serie A,FWD,ST,27,88.0,84.4,88.0,81.1,85.6
J,Argentina,Paulo Bruno Exequiel Dybala,Roma,Serie A,MID,AM,31,86.0,84.5,86.0,82.2,85.4
J,Argentina,Julián Álvarez,Atlético Madrid,La Liga,FWD,ST,25,87.0,84.9,87.0,72.2,84.9
J,Argentina,Alexis Mac Allister,Liverpool,Premier League,MID,CM,26,87.0,82.7,87.0,73.8,83.6
J,Argentina,Rodrigo Javier de Paul,Inter Miami,Major League Soccer,MID,CM,31,84.0,81.6,84.0,73.1,82.2
J,Argentina,Ángel Fabián Di María Hernández,Rosario Central,Liga Profesional de Fútbol,FWD,W,37,82.0,80.7,82.0,76.4,81.6
J,Argentina,Giovani Lo Celso,Real Betis Balompié,La Liga,MID,AM,29,82.0,80.3,82.0,69.7,80.7
J,Argentina,Enzo Jeremías Fernández,Chelsea,Premier League,MID,CM,24,84.0,80.4,84.0,61.4,80.2
J,Argentina,Damián Emiliano Martínez Romero,Aston Villa,Premier League,GK,GK,32,85.0,77.9,85.0,74.7,80.1
J,Argentina,Exequiel Alejandro Palacios,Bayer 04 Leverkusen,Bundesliga,MID,CM,26,84.0,79.4,84.0,64.7,79.9
J,Argentina,Nicolás Hernán Gonzalo Otamendi,SL Benfica,Primeira Liga,DEF,CB,37,82.0,77.1,82.0,76.4,79.2
J,Argentina,Lisandro Martínez,Manchester United,Premier League,DEF,CB,27,81.0,78.0,81.0,66.4,78.6
J,Argentina,Thiago Ezequiel Almada,Atlético Madrid,La Liga,MID,AM,24,79.0,79.0,79.0,61.4,78.5
J,Argentina,Leonardo Julián Balerdi Rossa,Olympique de Marseille,Ligue 1,DEF,CB,26,81.0,77.5,81.0,64.7,78.1
J,Argentina,Valentín Mariano José Castellanos Giménez,Lazio,Serie A,FWD,ST,26,80.0,77.7,80.0,64.7,78.1
J,Argentina,Gerónimo Rulli,Olympique de Marseille,Ligue 1,GK,GK,33,82.0,75.4,82.0,76.4,78.0
J,Argentina,Mauro Emanuel Icardi Rivero,Galatasaray SK,Süper Lig,FWD,ST,32,81.0,75.8,81.0,74.7,78.0
J,Argentina,Marcos Javier Acuña,River Plate,Liga Profesional de Fútbol,DEF,FB,33,78.0,76.1,78.0,76.4,77.9
J,Argentina,Cristian Gabriel Romero,Tottenham Hotspur,Premier League,DEF,CB,27,82.0,76.5,82.0,66.4,77.8
J,Argentina,Nahuel Molina Lucero,Atlético Madrid,La Liga,DEF,FB,27,79.0,75.9,79.0,66.4,76.9
J,Argentina,Facundo Axel Medina,Olympique de Marseille,Ligue 1,DEF,CB,26,79.0,77.2,79.0,49.8,76.1
J,Argentina,Walter Daniel Benítez,Crystal Palace,Premier League,GK,GK,32,79.0,73.7,79.0,59.8,74.7
J,Argentina,Marcos Nicolás Senesi Barón,AFC Bournemouth,Premier League,DEF,CB,28,78.0,73.6,78.0,53.2,73.8
J,Argentina,Juan Marcos Foyth,Villarreal CF,La Liga,DEF,CB,27,79.0,75.9,79.0,27.2,73.0
J,Argentina,Giuliano Simeone Baldini,Atlético Madrid,La Liga,MID,WM,22,81.0,76.5,81.0,18.9,72.9
D,Australia,Mathew David Ryan,Levante UD,La Liga,GK,GK,33,78.0,72.6,78.0,61.5,74.0
D,Australia,Martin Callie Boyle,Hibernian,Premiership,FWD,ST,32,71.0,73.5,71.0,35.5,70.9
D,Australia,Craig Alexander Goodwin,Adelaide United,A-League Men,MID,WM,33,73.0,72.6,73.0,37.2,70.8
D,Australia,Jackson Alexander Irvine,FC St. Pauli,Bundesliga,MID,CM,32,75.0,72.2,75.0,35.5,70.6
D,Australia,Nicholas D'Agostino,Viking FK,Eliteserien,FWD,ST,27,70.0,73.0,70.0,27.2,69.5
D,Australia,Brandon Joel Gaetano Borrello,Western Sydney Wanderers,A-League Men,FWD,ST,29,70.0,71.7,70.0,30.5,69.0
D,Australia,Adam Jake Taggart,Perth Glory,A-League Men,FWD,ST,32,69.0,71.0,69.0,35.5,68.9
D,Australia,Riley Patrick McGree,Middlesbrough,Championship,MID,WM,26,72.0,71.5,72.0,25.5,68.7
D,Australia,Massimo Corey Luongo,Millwall FC,Championship,MID,DM,32,72.0,69.3,72.0,35.5,68.2
D,Australia,Jamie MacLaren,Mohun Bagan Super Giant,Super League,FWD,ST,31,69.0,70.0,69.0,33.9,68.0
D,Australia,Mathew Allan Leckie,Melbourne City FC,A-League Men,MID,CM,34,70.0,68.9,70.0,37.2,67.8
D,Australia,Cameron Robert Burgess,Swansea City,Championship,DEF,CB,29,73.0,68.2,73.0,30.5,67.1
D,Australia,Jordan Jacob Bos,Feyenoord,Eredivisie,DEF,FB,22,69.0,70.9,69.0,18.9,67.1
D,Australia,Alexander Ian Grant,Sydney FC,A-League Men,DEF,CB,31,71.0,67.7,71.0,33.9,66.8
D,Australia,Cameron Peter Devlin,Hearts,Premiership,MID,DM,27,71.0,67.8,71.0,27.2,66.2
D,Australia,Kai Clifton Trewin,Melbourne City FC,A-League Men,DEF,CB,24,69.0,69.0,69.0,22.2,66.2
D,Australia,Fran Karačić,Hajduk Split,Hrvatska nogometna liga,DEF,FB,29,68.0,68.1,68.0,30.5,66.2
D,Australia,Anthony Charles Carter,Santa Clara,Primeira Liga,FWD,ST,30,70.0,67.2,70.0,32.2,66.1
D,Australia,Aiden Connor O'Neill,New York City FC,Major League Soccer,MID,DM,26,70.0,68.1,70.0,25.5,66.1
D,Australia,Nicolas Petar Milanović,Aberdeen,Premiership,MID,WM,23,71.0,68.2,71.0,20.5,65.8
D,Australia,Gianni Ryan Stensness,Viking FK,Eliteserien,DEF,CB,26,69.0,67.9,69.0,25.5,65.8
D,Australia,Kye Francis Rowles,DC United,Major League Soccer,DEF,CB,27,71.0,67.1,71.0,27.2,65.7
D,Australia,Paul David Izzo,Randers FC,Superliga,GK,GK,30,70.0,66.5,70.0,32.2,65.6
D,Australia,Alessandro Circati,Parma,Serie A,DEF,CB,21,71.0,68.0,71.0,17.2,65.3
D,Australia,Harry James Souttar,Leicester City,Championship,DEF,CB,26,73.0,66.1,73.0,25.5,65.2
D,Australia,Joe Anthony Gauci,Port Vale,League One,GK,GK,24,68.0,64.5,68.0,22.2,63.0
J,Austria,David Olatukunbo Alaba,Real Madrid,La Liga,DEF,CB,33,82.0,78.6,82.0,76.4,80.2
J,Austria,Konrad Laimer,FC Bayern München,Bundesliga,DEF,FB,28,82.0,78.8,82.0,68.1,79.5
J,Austria,Marcel Sabitzer,Borussia Dortmund,Bundesliga,MID,DM,31,80.0,77.9,80.0,73.1,79.1
J,Austria,Xaver Schlager,RB Leipzig,Bundesliga,MID,DM,27,80.0,75.8,80.0,66.4,77.0
J,Austria,Philipp Lienhart,SC Freiburg,Bundesliga,DEF,CB,28,79.0,74.4,79.0,53.2,74.5
J,Austria,Kevin Danso,Tottenham Hotspur,Premier League,DEF,CB,26,79.0,74.7,79.0,49.8,74.4
J,Austria,Patrick Wimmer,VfL Wolfsburg,Bundesliga,MID,AM,24,77.0,75.6,77.0,46.5,74.4
J,Austria,Kevin Stöger,Borussia Mönchengladbach,Bundesliga,MID,AM,31,76.0,74.2,76.0,58.2,74.4
J,Austria,Stefan Posch,Como,Serie A,DEF,FB,28,79.0,73.9,79.0,53.2,74.2
J,Austria,Christoph Baumgartner,RB Leipzig,Bundesliga,MID,AM,25,77.0,74.3,77.0,48.2,73.7
J,Austria,Romano Christian Schmid,SV Werder Bremen,Bundesliga,MID,AM,25,78.0,77.0,78.0,23.9,73.2
J,Austria,Marco Friedl,SV Werder Bremen,Bundesliga,DEF,CB,27,77.0,75.2,77.0,27.2,72.1
J,Austria,Nicolas Seiwald,RB Leipzig,Bundesliga,MID,DM,24,77.0,74.6,77.0,22.2,71.2
J,Austria,Valentino Lando Lazaro,Torino,Serie A,MID,WM,29,76.0,73.6,76.0,30.5,71.2
J,Austria,Phillipp Mwene,1. FSV Mainz 05,Bundesliga,DEF,FB,31,76.0,72.4,76.0,33.9,70.8
J,Austria,Karim Onisiwo,FC Red Bull Salzburg,Bundesliga,FWD,ST,33,72.0,72.3,72.0,37.2,70.4
J,Austria,David Leopold Affengruber,Elche CF,La Liga,DEF,CB,24,75.0,73.1,75.0,22.2,69.9
J,Austria,Michael Gregoritsch,Brøndby IF,Superliga,FWD,ST,31,75.0,66.3,75.0,58.2,68.9
J,Austria,Maximilian Entrup,LASK Linz,Bundesliga,FWD,ST,27,72.0,71.2,72.0,27.2,68.7
J,Austria,Alexander Schlager,FC Red Bull Salzburg,Bundesliga,GK,GK,29,73.0,68.8,73.0,30.5,67.5
J,Austria,Chukwubuike Junior Adamu,SC Freiburg,Bundesliga,FWD,ST,24,71.0,70.3,71.0,22.2,67.4
J,Austria,Raul Florucz,Union Saint-Gilloise,Pro League,FWD,W,24,70.0,70.6,70.0,22.2,67.4
J,Austria,Leopold Querfeld,1. FC Union Berlin,Bundesliga,DEF,CB,21,75.0,69.5,75.0,17.2,67.0
J,Austria,Tobias Okiki Lawal,KRC Genk,Pro League,GK,GK,25,72.0,68.2,72.0,23.9,66.3
J,Austria,Patrick Pentz,Brøndby IF,Superliga,GK,GK,28,72.0,67.3,72.0,28.9,66.2
J,Austria,Saša Kalajdžić,LASK Linz,Bundesliga,FWD,ST,27,74.0,65.2,74.0,27.2,64.9
G,Belgium,Thibaut Nicolas Marc Courtois,Real Madrid,La Liga,GK,GK,33,89.0,81.5,89.0,91.1,84.8
G,Belgium,Kevin De Bruyne,Napoli,Serie A,MID,CM,34,87.0,82.8,87.0,85.5,84.8
G,Belgium,Yannick Ferreira Carrasco,Al Shabab,Pro League,FWD,W,31,81.0,82.5,81.0,73.1,82.4
G,Belgium,Ikoma Loïs Openda,Juventus,Serie A,FWD,ST,25,83.0,83.3,83.0,63.1,82.2
G,Belgium,Leandro Trossard,Arsenal,Premier League,FWD,W,30,83.0,81.7,83.0,71.4,82.0
G,Belgium,Romelu Menama Lukaku Bolingoli,Napoli,Serie A,FWD,ST,32,84.0,80.5,84.0,74.7,81.6
G,Belgium,Youri Tielemans,Aston Villa,Premier League,MID,CM,28,85.0,80.6,85.0,68.1,81.2
G,Belgium,Jérémy Doku,Manchester City,Premier League,FWD,W,23,80.0,81.1,80.0,59.7,79.9
G,Belgium,Charles De Ketelaere,Atalanta,Serie A,MID,AM,24,82.0,79.3,82.0,61.4,79.2
G,Belgium,Matz Willy Els Sels,Nottingham Forest,Premier League,GK,GK,33,83.0,76.5,83.0,76.4,78.9
G,Belgium,Koen Casteels,Al Qadsiah FC,Pro League,GK,GK,33,82.0,76.7,82.0,76.4,78.9
G,Belgium,Dodi Lukébakio Ngandoli,SL Benfica,Primeira Liga,MID,WM,27,82.0,76.5,82.0,66.4,77.8
G,Belgium,Hans Vanaken,Club Brugge KV,Pro League,MID,AM,32,80.0,75.7,80.0,74.7,77.8
G,Belgium,Thomas Andre A. Meunier,Lille OSC,Ligue 1,DEF,FB,33,76.0,72.1,76.0,76.4,74.8
G,Belgium,Arthur Nicolas Theate,Eintracht Frankfurt,Bundesliga,DEF,CB,25,80.0,77.0,80.0,23.9,73.6
G,Belgium,Maxim De Cuyper,Brighton & Hove Albion,Premier League,DEF,FB,24,80.0,76.8,80.0,22.2,73.3
G,Belgium,Axel Laurent Angel Lambert Witsel,Girona FC,La Liga,DEF,CB,36,77.0,69.5,77.0,76.4,73.2
G,Belgium,Saint-Cyr Johan Bakayoko,RB Leipzig,Bundesliga,FWD,W,22,78.0,77.6,78.0,18.9,73.1
G,Belgium,Alexis Jesse Saelemaekers,AC Milan,Serie A,MID,WM,26,79.0,76.2,79.0,25.5,73.0
G,Belgium,Amadou Zeund Georges Ba Mvom Onana,Aston Villa,Premier League,MID,DM,23,79.0,76.2,79.0,20.5,72.5
G,Belgium,Malick Martin Fofana,Olympique Lyonnais,Ligue 1,MID,WM,20,78.0,73.9,78.0,15.5,70.3
G,Belgium,Brandon Mechele,Club Brugge KV,Pro League,DEF,CB,32,76.0,71.0,76.0,35.5,70.0
G,Belgium,Matte Smets,KRC Genk,Pro League,DEF,CB,21,76.0,73.3,76.0,17.2,69.7
G,Belgium,Timothy Castagne,Fulham FC,Premier League,DEF,FB,29,76.0,71.1,76.0,30.5,69.6
G,Belgium,Koni De Winter,AC Milan,Serie A,DEF,CB,23,74.0,70.1,74.0,20.5,67.6
G,Belgium,Zeno Van Den Bosch,Royal Antwerp FC,Pro League,DEF,CB,21,74.0,70.4,74.0,17.2,67.4
B,Bosnia-Herzegovina,Ermedin Demirović,VfB Stuttgart,Bundesliga,FWD,ST,27,80.0,77.7,80.0,51.5,76.8
B,Bosnia-Herzegovina,Edin Džeko,Fiorentina,Serie A,FWD,ST,39,81.0,73.3,81.0,76.4,76.5
B,Bosnia-Herzegovina,Sead Kolašinac,Atalanta,Serie A,DEF,CB,32,79.0,75.5,79.0,59.8,76.0
B,Bosnia-Herzegovina,Edin Višća,Trabzonspor,Süper Lig,MID,WM,35,78.0,75.3,78.0,37.2,73.4
B,Bosnia-Herzegovina,Miroslav Stevanović,Servette FC,Super League,MID,WM,34,75.0,71.3,75.0,61.5,72.6
B,Bosnia-Herzegovina,Haris Hajradinović,Kasımpaşa SK,Süper Lig,MID,CM,31,76.0,73.0,76.0,33.9,71.2
B,Bosnia-Herzegovina,Nikola Vasilj,FC St. Pauli,Bundesliga,GK,GK,29,77.0,71.6,77.0,30.5,70.0
B,Bosnia-Herzegovina,Amar Dedić,SL Benfica,Primeira Liga,DEF,FB,22,74.0,73.8,74.0,18.9,69.9
B,Bosnia-Herzegovina,Amir Hadžiahmetović,Hull City,Championship,MID,DM,28,73.0,71.9,73.0,28.9,69.4
B,Bosnia-Herzegovina,Anel Ahmedhodžić,Feyenoord,Eredivisie,DEF,CB,26,74.0,71.9,74.0,25.5,69.3
B,Bosnia-Herzegovina,Elvis Sarić,Qingdao Hainiu FC,Super League,MID,CM,34,71.0,69.4,71.0,37.2,68.3
B,Bosnia-Herzegovina,Haris Tabaković,Borussia Mönchengladbach,Bundesliga,FWD,ST,31,73.0,69.0,73.0,33.9,68.0
B,Bosnia-Herzegovina,Amar Memić,Viktoria Plzeň,První liga,MID,WM,24,72.0,70.6,72.0,22.2,67.7
B,Bosnia-Herzegovina,Armin Gigović,BSC Young Boys,Super League,MID,CM,23,72.0,69.0,72.0,20.5,66.5
B,Bosnia-Herzegovina,Jusuf Gazibegović,1. FC Köln,Bundesliga,DEF,FB,25,70.0,68.8,70.0,23.9,66.4
B,Bosnia-Herzegovina,Asmir Begović,Leicester City,Championship,GK,GK,38,70.0,66.2,70.0,37.2,66.0
B,Bosnia-Herzegovina,Vladan Kovačević,Norwich City,Championship,GK,GK,27,70.0,66.9,70.0,27.2,65.4
B,Bosnia-Herzegovina,Denis Huseinbašić,1. FC Köln,Bundesliga,MID,CM,23,72.0,67.2,72.0,20.5,65.3
B,Bosnia-Herzegovina,Leon Adrian Barišić,FC Basel 1893,Super League,DEF,CB,24,72.0,67.0,72.0,22.2,65.3
B,Bosnia-Herzegovina,Dennis Hadžikadunić,Sampdoria,Serie B,DEF,CB,26,70.0,66.0,70.0,25.5,64.6
B,Bosnia-Herzegovina,Kenan Kodro,Real Zaragoza,La Liga 2,FWD,ST,31,70.0,63.8,70.0,33.9,63.9
B,Bosnia-Herzegovina,Luka Kulenović,Heracles Almelo,Eredivisie,FWD,ST,25,69.0,65.4,69.0,23.9,63.9
B,Bosnia-Herzegovina,Nikola Katić,FC Schalke 04,2. Bundesliga,DEF,CB,28,69.0,64.3,69.0,28.9,63.7
B,Bosnia-Herzegovina,Milan Đurić,Parma,Serie A,FWD,ST,35,71.0,62.2,71.0,37.2,63.4
B,Bosnia-Herzegovina,Nihad Mujakić,Eyüpspor,Süper Lig,DEF,CB,27,67.0,64.6,67.0,27.2,63.4
B,Bosnia-Herzegovina,Tarik Muharemović,Sassuolo,Serie A,DEF,CB,22,70.0,64.9,70.0,18.9,63.2
C,Brazil,Vinicius José Paixão de Oliveira Junior,Real Madrid,La Liga,FWD,W,24,89.0,88.3,89.0,76.1,87.9
C,Brazil,Raphael Dias Belloli,FC Barcelona,La Liga,MID,WM,28,89.0,83.9,89.0,77.2,85.0
C,Brazil,Marcos Aoás Corrêa,Paris Saint-Germain,Ligue 1,DEF,CB,31,87.0,82.8,87.0,82.2,84.5
C,Brazil,Alisson Ramsés Becker,Liverpool,Premier League,GK,GK,32,89.0,81.1,89.0,89.5,84.4
C,Brazil,Rodrygo Silva de Goes,Real Madrid,La Liga,FWD,W,24,85.0,84.0,85.0,70.5,83.7
C,Brazil,Bruno Guimarães Rodrigues Moura,Newcastle United,Premier League,MID,CM,27,86.0,82.3,86.0,75.5,83.3
C,Brazil,Ronaldo Jailson Cabrais Petri,Botafogo,Série A,MID,AM,29,83.0,82.8,83.0,69.7,82.6
C,Brazil,Gabriel dos Santos Magalhães,Arsenal,Premier League,DEF,CB,27,88.0,79.6,88.0,75.5,81.8
C,Brazil,Malcom Filipe Silva de Oliveira,Al Hilal,Pro League,MID,AM,28,82.0,81.6,82.0,68.1,81.4
C,Brazil,Éder Gabriel Militão,Real Madrid,La Liga,DEF,CB,27,84.0,80.9,84.0,66.4,81.1
C,Brazil,Matheus Santos Carneiro da Cunha,Manchester United,Premier League,MID,AM,26,83.0,81.3,83.0,64.7,81.0
C,Brazil,Gleison Bremer Silva Nascimento,Juventus,Serie A,DEF,CB,28,85.0,78.8,85.0,77.2,80.9
C,Brazil,Gabriel Teodoro Martinelli Silva,Arsenal,Premier League,FWD,W,24,81.0,81.7,81.0,61.4,80.7
C,Brazil,Fábio Henrique Tavares,Al Ittihad,Pro League,MID,DM,31,82.0,79.5,82.0,73.1,80.5
C,Brazil,Joelinton Cassio Apolinário de Lira,Newcastle United,Premier League,MID,CM,28,82.0,80.1,82.0,68.1,80.4
C,Brazil,Antony Matheus dos Santos,Real Betis Balompié,La Liga,FWD,W,25,81.0,81.0,81.0,63.1,80.4
C,Brazil,Sávio Moreira de Oliveira,Manchester City,Premier League,FWD,W,21,82.0,81.2,82.0,56.4,80.0
C,Brazil,Ederson Santana de Moraes,Fenerbahçe SK,Süper Lig,GK,GK,31,85.0,77.1,85.0,73.1,79.3
C,Brazil,Murillo Santiago Costa dos Santos,Nottingham Forest,Premier League,DEF,CB,22,83.0,79.6,83.0,58.1,79.2
C,Brazil,Marvin Oswaldo Rangel Azevedo,Flamengo,Série A,FWD,ST,29,81.0,78.3,81.0,69.7,79.1
C,Brazil,Éderson José dos Santos Lourenço da Silva,Atalanta,Serie A,MID,CM,25,82.0,78.5,82.0,63.1,78.8
C,Brazil,Carlos Augusto Zopalato Neves,Inter,Serie A,DEF,FB,26,81.0,77.9,81.0,64.7,78.4
C,Brazil,Roger Ibañez da Silva,Al Ahli SFC,Pro League,DEF,CB,26,82.0,77.2,82.0,64.7,78.1
C,Brazil,Welington Kauê Dano Nascimento,Atlético Mineiro,Série A,DEF,FB,25,81.0,76.6,81.0,63.1,77.4
C,Brazil,Lucas Luciano Mantela Patrício,Palmeiras,Série A,GK,GK,25,82.0,75.6,82.0,63.1,76.8
C,Brazil,Maikel Renan Catarino Fagundes,Corinthians,Série A,DEF,FB,29,80.0,74.6,80.0,30.5,72.6
B,Canada,Alphonso Boyle Davies,FC Bayern München,Bundesliga,DEF,FB,24,84.0,81.4,84.0,61.4,80.9
B,Canada,Jonathan Christian David,Juventus,Serie A,FWD,ST,25,82.0,80.2,82.0,63.1,80.0
B,Canada,Alistair William Johnston,Celtic,Premiership,DEF,FB,26,78.0,76.3,78.0,25.5,72.9
B,Canada,Cyle Christopher Larin,Feyenoord,Eredivisie,FWD,ST,30,77.0,74.4,77.0,32.2,72.1
B,Canada,Stephen Antunes Eustáquio,FC Porto,Primeira Liga,MID,DM,28,77.0,74.4,77.0,28.9,71.8
B,Canada,Milan BorjanMa opja,Al Riyadh,Pro League,GK,GK,37,78.0,72.2,78.0,37.2,71.3
B,Canada,Moïse Bombito Lumpungu,OGC Nice,Ligue 1,DEF,CB,25,76.0,74.2,76.0,23.9,71.0
B,Canada,Tajon Trevor Buchanan,Villarreal CF,La Liga,MID,WM,26,74.0,74.1,74.0,25.5,70.8
B,Canada,Promise Oluwatobi Emmanuel David,Union Saint-Gilloise,Pro League,FWD,ST,23,75.0,72.5,75.0,20.5,69.4
B,Canada,Richmond Mamah Laryea,Toronto FC,Major League Soccer,MID,WM,30,72.0,70.8,72.0,32.2,68.9
B,Canada,Derek Austin Cornelius,Rangers FC,Premiership,DEF,CB,27,74.0,71.0,74.0,27.2,68.8
B,Canada,Liam Alan Millar,Hull City,Championship,MID,WM,25,72.0,71.5,72.0,23.9,68.5
B,Canada,Tanitoluwa Oluwatimikhin Oluwaseyi,Villarreal CF,La Liga,FWD,ST,25,70.0,71.8,70.0,23.9,68.4
B,Canada,Kamal Anthony Miller,Portland Timbers,Major League Soccer,DEF,CB,28,71.0,70.4,71.0,28.9,68.1
B,Canada,Thelonius Alston Bradley Bair,FC Lausanne-Sport,Super League,FWD,ST,25,71.0,70.2,71.0,23.9,67.5
B,Canada,Jonathan Osorio,Toronto FC,Major League Soccer,MID,CM,33,71.0,68.1,71.0,37.2,67.4
B,Canada,David Junior Wayne Hoilett,Hibernian,Premiership,MID,WM,35,69.0,68.3,69.0,37.2,67.2
B,Canada,Dayne Tristan St. Clair,Minnesota United FC,Major League Soccer,GK,GK,28,73.0,68.4,73.0,28.9,67.1
B,Canada,Samuel Ayomide Adekugbe,Vancouver Whitecaps FC,Major League Soccer,DEF,FB,30,68.0,69.2,68.0,32.2,67.1
B,Canada,Iké Dominique Ugbo,Sheffield Wednesday,Championship,FWD,ST,26,69.0,68.9,69.0,25.5,66.4
B,Canada,Ismaël Kenneth Jordan Koné,Sassuolo,Serie A,MID,CM,23,72.0,67.9,72.0,20.5,65.8
B,Canada,Maxime Crépeau,Portland Timbers,Major League Soccer,GK,GK,31,69.0,65.8,69.0,33.9,65.2
B,Canada,Niko Kristian Sigur,Hajduk Split,Hrvatska nogometna liga,DEF,FB,21,70.0,67.7,70.0,17.2,65.0
B,Canada,Samuel Piette,CF Montréal,Major League Soccer,MID,DM,30,69.0,64.5,69.0,32.2,64.1
B,Canada,Joel Robert Waterman,Chicago Fire,Major League Soccer,DEF,CB,29,68.0,64.6,68.0,30.5,63.8
B,Canada,Kyle Anthony Hiebert,St. Louis CITY SC,Major League Soccer,DEF,CB,27,67.0,64.9,67.0,27.2,63.5
H,Cape Verde,Nuno Miguel da Costa Jóia,Medipol Başakşehir FK,Süper Lig,FWD,ST,34,74.0,73.1,74.0,37.2,71.3
H,Cape Verde,Steven Moreira,Columbus Crew,Major League Soccer,DEF,CB,30,72.0,71.7,72.0,32.2,69.5
H,Cape Verde,Logan Evans Costa,Villarreal CF,La Liga,DEF,CB,24,77.0,71.8,77.0,22.2,69.4
H,Cape Verde,Jovane Eduardo Borges Cabral,Estrela da Amadora,Primeira Liga,FWD,W,27,70.0,72.1,70.0,27.2,68.9
H,Cape Verde,Leandro Livramento Andrade,Qarabağ FK,Premyer Liqa,FWD,W,25,72.0,71.4,72.0,23.9,68.4
H,Cape Verde,Bruno Miguel Semedo Varela,Al Hazem FC,Pro League,GK,GK,30,74.0,69.4,74.0,32.2,68.3
H,Cape Verde,Dailon Rocha Livramento do Rosario,Casa Pia,Primeira Liga,FWD,ST,24,70.0,71.0,70.0,22.2,67.7
H,Cape Verde,Wagner Fabrício Cardoso de Pina,Trabzonspor,Süper Lig,MID,WM,22,72.0,70.3,72.0,18.9,67.2
H,Cape Verde,Jamiro Gregory Monteiro Alvarenga,PEC Zwolle,Eredivisie,MID,AM,31,69.0,68.6,69.0,33.9,67.1
H,Cape Verde,Bryan Silva Teixeira,LASK Linz,Bundesliga,FWD,ST,24,66.0,68.8,66.0,22.2,65.6
H,Cape Verde,Luís Henrique Barros Lopes,CD Leganés,La Liga 2,MID,WM,25,68.0,67.4,68.0,23.9,65.1
H,Cape Verde,Telmo Emanuel Gomes Arcanjo,Vitória SC,Primeira Liga,MID,WM,24,71.0,66.7,71.0,22.2,65.0
H,Cape Verde,Ricardo Alexandre Almeida Santos,Swansea City,Championship,DEF,CB,30,67.0,65.6,67.0,32.2,64.6
